UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root           1       0       1  0    1 09:19 ?        00:00:03 /sbin/init splash
root           2       0       2  0    1 09:19 ?        00:00:00 [kthreadd]
root           3       2       3  0    1 09:19 ?        00:00:00 [pool_workqueue_release]
root           4       2       4  0    1 09:19 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2       5  0    1 09:19 ?        00:00:00 [kworker/R-sync_wq]
root           6       2       6  0    1 09:19 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2       7  0    1 09:19 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2       8  0    1 09:19 ?        00:00:00 [kworker/R-netns]
root          10       2      10  0    1 09:19 ?        00:00:00 [kworker/0:0H-events_highpri]
root          13       2      13  0    1 09:19 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2      14  0    1 09:19 ?        00:00:00 [rcu_tasks_kthread]
root          15       2      15  0    1 09:19 ?        00:00:00 [rcu_tasks_rude_kthread]
root          16       2      16  0    1 09:19 ?        00:00:00 [rcu_tasks_trace_kthread]
root          17       2      17  0    1 09:19 ?        00:00:01 [ksoftirqd/0]
root          18       2      18  0    1 09:19 ?        00:01:06 [rcu_preempt]
root          19       2      19  0    1 09:19 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/1]
root          20       2      20  0    1 09:19 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          21       2      21  0    1 09:19 ?        00:00:10 [migration/0]
root          22       2      22  0    1 09:19 ?        00:00:00 [idle_inject/0]
root          23       2      23  0    1 09:19 ?        00:00:00 [cpuhp/0]
root          24       2      24  0    1 09:19 ?        00:00:00 [cpuhp/1]
root          25       2      25  0    1 09:19 ?        00:00:00 [idle_inject/1]
root          26       2      26  0    1 09:19 ?        00:00:06 [migration/1]
root          27       2      27  0    1 09:19 ?        00:00:00 [ksoftirqd/1]
root          29       2      29  0    1 09:19 ?        00:00:00 [kworker/1:0H-events_highpri]
root          30       2      30  0    1 09:19 ?        00:00:00 [cpuhp/3]
root          31       2      31  0    1 09:19 ?        00:00:00 [idle_inject/3]
root          32       2      32  0    1 09:19 ?        00:00:05 [migration/3]
root          33       2      33  0    1 09:19 ?        00:00:00 [ksoftirqd/3]
root          35       2      35  0    1 09:19 ?        00:00:00 [kworker/3:0H-events_highpri]
root          36       2      36  0    1 09:19 ?        00:00:00 [cpuhp/6]
root          37       2      37  0    1 09:19 ?        00:00:00 [idle_inject/6]
root          38       2      38  0    1 09:19 ?        00:00:04 [migration/6]
root          39       2      39  0    1 09:19 ?        00:00:00 [ksoftirqd/6]
root          41       2      41  0    1 09:19 ?        00:00:00 [kworker/6:0H-events_highpri]
root          42       2      42  0    1 09:19 ?        00:00:00 [cpuhp/8]
root          43       2      43  0    1 09:19 ?        00:00:00 [idle_inject/8]
root          44       2      44  0    1 09:19 ?        00:00:16 [migration/8]
root          45       2      45  0    1 09:19 ?        00:00:00 [ksoftirqd/8]
root          47       2      47  0    1 09:19 ?        00:00:00 [kworker/8:0H-events_highpri]
root          48       2      48  0    1 09:19 ?        00:00:00 [cpuhp/9]
root          49       2      49  0    1 09:19 ?        00:00:00 [idle_inject/9]
root          50       2      50  0    1 09:19 ?        00:00:10 [migration/9]
root          51       2      51  0    1 09:19 ?        00:00:00 [ksoftirqd/9]
root          53       2      53  0    1 09:19 ?        00:00:00 [kworker/9:0H-events_highpri]
root          54       2      54  0    1 09:19 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/2]
root          55       2      55  0    1 09:19 ?        00:00:00 [cpuhp/10]
root          56       2      56  0    1 09:19 ?        00:00:00 [idle_inject/10]
root          57       2      57  0    1 09:19 ?        00:00:06 [migration/10]
root          58       2      58  0    1 09:19 ?        00:00:00 [ksoftirqd/10]
root          60       2      60  0    1 09:19 ?        00:00:00 [kworker/10:0H-events_highpri]
root          61       2      61  0    1 09:19 ?        00:00:00 [cpuhp/11]
root          62       2      62  0    1 09:19 ?        00:00:00 [idle_inject/11]
root          63       2      63  0    1 09:19 ?        00:00:04 [migration/11]
root          64       2      64  0    1 09:19 ?        00:00:00 [ksoftirqd/11]
root          66       2      66  0    1 09:19 ?        00:00:00 [kworker/11:0H-events_highpri]
root          67       2      67  0    1 09:19 ?        00:00:00 [cpuhp/12]
root          68       2      68  0    1 09:19 ?        00:00:00 [idle_inject/12]
root          69       2      69  0    1 09:19 ?        00:00:04 [migration/12]
root          70       2      70  0    1 09:19 ?        00:00:00 [ksoftirqd/12]
root          72       2      72  0    1 09:19 ?        00:00:00 [kworker/12:0H-events_highpri]
root          73       2      73  0    1 09:19 ?        00:00:00 [cpuhp/13]
root          74       2      74  0    1 09:19 ?        00:00:00 [idle_inject/13]
root          75       2      75  0    1 09:19 ?        00:00:03 [migration/13]
root          76       2      76  0    1 09:19 ?        00:00:00 [ksoftirqd/13]
root          78       2      78  0    1 09:19 ?        00:00:00 [kworker/13:0H-events_highpri]
root          79       2      79  0    1 09:19 ?        00:00:00 [cpuhp/14]
root          80       2      80  0    1 09:19 ?        00:00:00 [idle_inject/14]
root          81       2      81  0    1 09:19 ?        00:00:03 [migration/14]
root          82       2      82  0    1 09:19 ?        00:00:00 [ksoftirqd/14]
root          84       2      84  0    1 09:19 ?        00:00:00 [kworker/14:0H-events_highpri]
root          85       2      85  0    1 09:19 ?        00:00:00 [cpuhp/15]
root          86       2      86  0    1 09:19 ?        00:00:00 [idle_inject/15]
root          87       2      87  0    1 09:19 ?        00:00:02 [migration/15]
root          88       2      88  0    1 09:19 ?        00:00:00 [ksoftirqd/15]
root          90       2      90  0    1 09:19 ?        00:00:00 [kworker/15:0H-events_highpri]
root          91       2      91  0    1 09:19 ?        00:00:00 [cpuhp/16]
root          92       2      92  0    1 09:19 ?        00:00:00 [idle_inject/16]
root          93       2      93  0    1 09:19 ?        00:00:02 [migration/16]
root          94       2      94  0    1 09:19 ?        00:00:00 [ksoftirqd/16]
root          96       2      96  0    1 09:19 ?        00:00:00 [kworker/16:0H-events_highpri]
root          97       2      97  0    1 09:19 ?        00:00:00 [cpuhp/17]
root          98       2      98  0    1 09:19 ?        00:00:00 [idle_inject/17]
root          99       2      99  0    1 09:19 ?        00:00:01 [migration/17]
root         100       2     100  0    1 09:19 ?        00:00:00 [ksoftirqd/17]
root         102       2     102  0    1 09:19 ?        00:00:00 [kworker/17:0H-events_highpri]
root         103       2     103  0    1 09:19 ?        00:00:00 [cpuhp/2]
root         104       2     104  0    1 09:19 ?        00:00:00 [idle_inject/2]
root         105       2     105  0    1 09:19 ?        00:00:01 [migration/2]
root         106       2     106  0    1 09:19 ?        00:00:00 [ksoftirqd/2]
root         108       2     108  0    1 09:19 ?        00:00:00 [kworker/2:0H-events_highpri]
root         109       2     109  0    1 09:19 ?        00:00:00 [cpuhp/4]
root         110       2     110  0    1 09:19 ?        00:00:00 [idle_inject/4]
root         111       2     111  0    1 09:19 ?        00:00:00 [migration/4]
root         112       2     112  0    1 09:19 ?        00:00:00 [ksoftirqd/4]
root         114       2     114  0    1 09:19 ?        00:00:00 [kworker/4:0H-events_highpri]
root         115       2     115  0    1 09:19 ?        00:00:00 [cpuhp/5]
root         116       2     116  0    1 09:19 ?        00:00:00 [idle_inject/5]
root         117       2     117  0    1 09:19 ?        00:00:01 [migration/5]
root         118       2     118  0    1 09:19 ?        00:00:00 [ksoftirqd/5]
root         120       2     120  0    1 09:19 ?        00:00:00 [kworker/5:0H-events_highpri]
root         121       2     121  0    1 09:19 ?        00:00:00 [cpuhp/7]
root         122       2     122  0    1 09:19 ?        00:00:00 [idle_inject/7]
root         123       2     123  0    1 09:19 ?        00:00:00 [migration/7]
root         124       2     124  0    1 09:19 ?        00:00:00 [ksoftirqd/7]
root         126       2     126  0    1 09:19 ?        00:00:00 [kworker/7:0H-events_highpri]
root         129       2     129  0    1 09:19 ?        00:00:00 [kdevtmpfs]
root         130       2     130  0    1 09:19 ?        00:00:00 [kworker/R-inet_frag_wq]
root         131       2     131  0    1 09:19 ?        00:00:00 [kauditd]
root         132       2     132  0    1 09:19 ?        00:00:00 [khungtaskd]
root         134       2     134  0    1 09:19 ?        00:00:00 [oom_reaper]
root         135       2     135  0    1 09:19 ?        00:00:00 [kworker/R-writeback]
root         136       2     136  0    1 09:19 ?        00:00:00 [kcompactd0]
root         137       2     137  0    1 09:19 ?        00:00:00 [ksmd]
root         138       2     138  0    1 09:19 ?        00:00:00 [khugepaged]
root         139       2     139  0    1 09:19 ?        00:00:00 [kworker/R-kintegrityd]
root         140       2     140  0    1 09:19 ?        00:00:00 [kworker/R-kblockd]
root         141       2     141  0    1 09:19 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root         143       2     143  0    1 09:19 ?        00:00:00 [irq/9-acpi]
root         146       2     146  0    1 09:19 ?        00:00:00 [kworker/R-tpm_dev_wq]
root         147       2     147  0    1 09:19 ?        00:00:00 [kworker/R-ata_sff]
root         148       2     148  0    1 09:19 ?        00:00:00 [kworker/R-md]
root         149       2     149  0    1 09:19 ?        00:00:00 [kworker/R-md_bitmap]
root         150       2     150  0    1 09:19 ?        00:00:00 [kworker/R-edac-poller]
root         152       2     152  0    1 09:19 ?        00:00:00 [kworker/R-devfreq_wq]
root         154       2     154  0    1 09:19 ?        00:00:00 [watchdogd]
root         156       2     156  0    1 09:19 ?        00:00:02 [kworker/9:1H-i915_cleanup]
root         157       2     157  0    1 09:19 ?        00:00:02 [kswapd0]
root         158       2     158  0    1 09:19 ?        00:00:00 [ecryptfs-kthread]
root         159       2     159  0    1 09:19 ?        00:00:00 [kworker/R-kthrotld]
root         160       2     160  0    1 09:19 ?        00:00:00 [irq/123-pciehp]
root         161       2     161  0    1 09:19 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         164       2     164  0    1 09:19 ?        00:00:00 [hwrng]
root         165       2     165  0    1 09:19 ?        00:00:00 [kworker/R-hfi-updates]
root         167       2     167  0    1 09:19 ?        00:00:00 [kworker/R-mld]
root         168       2     168  0    1 09:19 ?        00:00:01 [kworker/10:1H-events_highpri]
root         169       2     169  0    1 09:19 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         176       2     176  0    1 09:19 ?        00:00:00 [kworker/R-kstrp]
root         178       2     178  0    1 09:19 ?        00:00:01 [kworker/7:1-cgroup_destroy]
root         187       2     187  0    1 09:19 ?        00:00:00 [kworker/u77:0]
root         201       2     201  0    1 09:19 ?        00:00:00 [kworker/R-charger_manager]
root         202       2     202  0    1 09:19 ?        00:00:02 [kworker/0:1H-i915_cleanup]
root         227       2     227  0    1 09:19 ?        00:00:02 [kworker/1:1H-i915_cleanup]
root         231       2     231  0    1 09:19 ?        00:00:00 [kworker/15:1H-kblockd]
root         232       2     232  0    1 09:19 ?        00:00:02 [kworker/3:1H-i915_cleanup]
root         251       2     251  0    1 09:19 ?        00:00:02 [kworker/8:1H-kblockd]
root         252       2     252  0    1 09:19 ?        00:00:02 [kworker/5:1H-i915_cleanup]
root         253       2     253  0    1 09:19 ?        00:00:01 [kworker/11:1H-i915_cleanup]
root         254       2     254  0    1 09:19 ?        00:00:01 [kworker/6:1H-i915_cleanup]
root         255       2     255  0    1 09:19 ?        00:00:01 [kworker/12:1H-i915_cleanup]
root         257       2     257  0    1 09:19 ?        00:00:00 [kworker/2:1H-i915_cleanup]
root         263       2     263  0    1 09:19 ?        00:00:01 [kworker/14:1H-i915_cleanup]
root         270       2     270  0    1 09:19 ?        00:00:00 [kworker/7:1H-i915_cleanup]
root         287       2     287  0    1 09:19 ?        00:00:01 [kworker/13:1H-i915_cleanup]
root         295       2     295  0    1 09:19 ?        00:00:00 [kworker/4:1H-i915_cleanup]
root         314       2     314  0    1 09:19 ?        00:00:00 [kworker/R-nvme-wq]
root         315       2     315  0    1 09:19 ?        00:00:00 [kworker/R-nvme-reset-wq]
root         316       2     316  0    1 09:19 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         317       2     317  0    1 09:19 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         321       2     321  0    1 09:19 ?        00:02:32 [irq/157-SYNA32EB:00]
root         362       2     362  0    1 09:19 ?        00:00:04 [jbd2/nvme0n1p4-8]
root         363       2     363  0    1 09:19 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
